TARGET_SERVICE_ID,GENERAL_NOTE,TARGET_ID,TARGET_NAME
110994096325001,"<iframe src=""https://york.scholarsportal.info/licenses/JSTOR_Archive_8_Collections/sfx"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",110994096325000,JSTOR_ARTS_AND_SCIENCES_I
110974884442162,"<iframe src=https://york.scholarsportal.info/licenses/American_Physical_Society_Journals_OCUL/sfx width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe> ",110974884442161,AMERICAN_PHYSICAL_SOCIETY_JOURNALS
110994096382001,"<iframe src=""https://york.scholarsportal.info/licenses/JSTOR_Archive_8_Collections/sfx"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",110994096382000,JSTOR_ARTS_AND_SCIENCES_II
110990803709001,"<iframe src=https://york.scholarsportal.info/licenses/Ulrichs_International_Periodical_Directory/sfx width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",110990803709000,ULRICHSWEB_COM
110997392153001,"<iframe src=""https://york.scholarsportal.info/licenses/Expanded_Academic_ASAP/sfx"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",110997392153000,GALEGROUP_IT_EXPANDED_ACADEMIC_ASAP
110997392316001,"<iframe src=""https://york.scholarsportal.info/licenses/Computer_Database/sfx"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",110997392316000,GALEGROUP_IT_COMPUTER_DATABASE
111021040342001,"<iframe src=""https://york.scholarsportal.info/licenses/LegalTrac/sfx"" width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",111021040342000,GALEGROUP_IT_LEGALTRAC
1000000000000451,"<iframe src=https://york.scholarsportal.info/licenses/ECS/sfx width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",1000000000000169,HIGHWIRE_PRESS_ELECTROCHEMICAL_SOCIETY
111034808820001,"<iframe src= https://york.scholarsportal.info/licenses/JSTOR_Archive_8_Collections/sfx width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe>",111034808820000,JSTOR_COMPLETE
111037301464002,"<iframe src=https://york.scholarsportal.info/licenses/Factiva/sfx width=""100%"" height=""40"" align=""middle"" frameborder=""0"" scrolling=""no""><p>Your browser does not support iframes.</p></iframe> ",111037301464000,FACTIVA
